id_carga,peso_kg,origen,destino
CARGA_001,70000,Zarate,Mar_del_Plata
CARGA_002,25000,Buenos_Aires,Bahia_Blanca
CARGA_003,45000,Pergamino,Necochea
CARGA_004,15000,La_Plata,Tandil
CARGA_005,80000,San_Nicolas,Buenos_Aires
CARGA_006,35000,Campana,Azul
CARGA_007,12000,Villa_Gesell,Buenos_Aires
CARGA_008,65000,Olavarria,Mar_del_Plata
CARGA_009,28000,Junin,La_Plata
CARGA_010,55000,Zarate,Bahia_Blanca
CARGA_011,18000,Pilar,Tandil
CARGA_012,42000,Mercedes,Necochea
CARGA_013,38000,Dolores,Buenos_Aires
CARGA_014,22000,Balcarce,Pergamino
CARGA_015,75000,Buenos_Aires,Villa_Gesell
CARGA_016,31000,Chascomus,Olavarria
CARGA_017,48000,San_Pedro,Mar_del_Plata
CARGA_018,19000,Lujan,Bahia_Blanca
CARGA_019,52000,Chivilcoy,La_Plata
CARGA_020,67000,Tandil,Buenos_Aires
